game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,0.000,0.0,0.0,136
2,MCVS,UCT,1.000,0.0,0.0,122
3,UCT,MCVS,0.000,0.0,0.0,148
4,MCVS,UCT,1.000,0.0,0.0,110
5,UCT,MCVS,0.000,0.0,0.0,144
6,MCVS,UCT,1.000,0.0,0.0,146
7,UCT,MCVS,0.000,0.0,0.0,128
8,MCVS,UCT,1.000,0.0,0.0,142
9,UCT,MCVS,0.000,0.0,0.0,108
10,MCVS,UCT,1.000,0.0,0.0,142
11,UCT,MCVS,0.000,0.0,0.0,120
12,MCVS,UCT,1.000,0.0,0.0,130
13,UCT,MCVS,0.000,0.0,0.0,136
14,MCVS,UCT,1.000,0.0,0.0,126
15,UCT,MCVS,0.000,0.0,0.0,128
16,MCVS,UCT,1.000,0.0,0.0,134
17,UCT,MCVS,0.000,0.0,0.0,128
18,MCVS,UCT,1.000,0.0,0.0,142
19,UCT,MCVS,0.000,0.0,0.0,136
20,MCVS,UCT,1.000,0.0,0.0,126
21,UCT,MCVS,1.000,0.0,0.0,126
22,MCVS,UCT,1.000,0.0,0.0,118
23,UCT,MCVS,0.500,0.0,0.0,150
24,MCVS,UCT,1.000,0.0,0.0,126
25,UCT,MCVS,0.000,0.0,0.0,132
26,MCVS,UCT,1.000,0.0,0.0,126
27,UCT,MCVS,0.000,0.0,0.0,136
28,MCVS,UCT,1.000,0.0,0.0,122
29,UCT,MCVS,0.000,0.0,0.0,108
30,MCVS,UCT,1.000,0.0,0.0,126
31,UCT,MCVS,0.000,0.0,0.0,132
32,MCVS,UCT,1.000,0.0,0.0,130
33,UCT,MCVS,0.000,0.0,0.0,116
34,MCVS,UCT,1.000,0.0,0.0,118
35,UCT,MCVS,0.000,0.0,0.0,124
36,MCVS,UCT,1.000,0.0,0.0,102
37,UCT,MCVS,0.000,0.0,0.0,140
38,MCVS,UCT,1.000,0.0,0.0,130
39,UCT,MCVS,0.000,0.0,0.0,92
40,MCVS,UCT,1.000,0.0,0.0,138
41,UCT,MCVS,0.000,0.0,0.0,128
42,MCVS,UCT,1.000,0.0,0.0,142
43,UCT,MCVS,0.000,0.0,0.0,124
44,MCVS,UCT,1.000,0.0,0.0,130
45,UCT,MCVS,0.000,0.0,0.0,116
46,MCVS,UCT,1.000,0.0,0.0,138
47,UCT,MCVS,0.000,0.0,0.0,140
48,MCVS,UCT,1.000,0.0,0.0,142
49,UCT,MCVS,0.000,0.0,0.0,104
50,MCVS,UCT,1.000,0.0,0.0,122
51,MAST,MCVS,0.000,0.0,0.0,132
52,MCVS,MAST,1.000,0.0,0.0,142
53,MAST,MCVS,0.000,0.0,0.0,124
54,MCVS,MAST,1.000,0.0,0.0,110
55,MAST,MCVS,0.000,0.0,0.0,132
56,MCVS,MAST,0.500,0.0,0.0,150
57,MAST,MCVS,0.000,0.0,0.0,144
