game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,0.000,0.0,0.0,38
2,MCVS,UCT,1.000,0.0,0.0,53
3,UCT,MCVS,1.000,0.0,0.0,45
4,MCVS,UCT,1.000,0.0,0.0,21
5,UCT,MCVS,1.000,0.0,0.0,43
6,MCVS,UCT,1.000,0.0,0.0,13
7,UCT,MCVS,0.000,0.0,0.0,40
8,MCVS,UCT,0.000,0.0,0.0,40
9,UCT,MCVS,1.000,0.0,0.0,77
10,MCVS,UCT,1.000,0.0,0.0,45
11,UCT,MCVS,0.000,0.0,0.0,60
12,MCVS,UCT,0.000,0.0,0.0,22
13,UCT,MCVS,0.000,0.0,0.0,30
14,MCVS,UCT,1.000,0.0,0.0,45
15,UCT,MCVS,0.000,0.0,0.0,36
16,MCVS,UCT,1.000,0.0,0.0,47
17,UCT,MCVS,0.000,0.0,0.0,48
18,MCVS,UCT,0.000,0.0,0.0,44
19,UCT,MCVS,0.000,0.0,0.0,16
20,MCVS,UCT,1.000,0.0,0.0,45
21,UCT,MCVS,0.000,0.0,0.0,56
22,MCVS,UCT,0.000,0.0,0.0,64
23,UCT,MCVS,1.000,0.0,0.0,57
24,MCVS,UCT,0.000,0.0,0.0,42
25,UCT,MCVS,0.000,0.0,0.0,34
26,MCVS,UCT,0.000,0.0,0.0,46
27,UCT,MCVS,0.000,0.0,0.0,68
28,MCVS,UCT,1.000,0.0,0.0,57
29,UCT,MCVS,0.000,0.0,0.0,66
30,MCVS,UCT,1.000,0.0,0.0,31
31,UCT,MCVS,0.000,0.0,0.0,58
32,MCVS,UCT,1.000,0.0,0.0,19
33,UCT,MCVS,0.000,0.0,0.0,40
34,MCVS,UCT,1.000,0.0,0.0,43
35,UCT,MCVS,0.000,0.0,0.0,48
36,MCVS,UCT,1.000,0.0,0.0,51
37,UCT,MCVS,0.000,0.0,0.0,52
38,MCVS,UCT,1.000,0.0,0.0,49
39,UCT,MCVS,0.000,0.0,0.0,44
40,MCVS,UCT,1.000,0.0,0.0,39
41,UCT,MCVS,0.000,0.0,0.0,28
42,MCVS,UCT,1.000,0.0,0.0,53
43,UCT,MCVS,0.000,0.0,0.0,30
44,MCVS,UCT,1.000,0.0,0.0,57
45,UCT,MCVS,0.000,0.0,0.0,50
46,MCVS,UCT,1.000,0.0,0.0,41
47,UCT,MCVS,0.000,0.0,0.0,54
48,MCVS,UCT,1.000,0.0,0.0,13
49,UCT,MCVS,0.000,0.0,0.0,48
50,MCVS,UCT,1.000,0.0,0.0,39
51,MAST,MCVS,0.000,0.0,0.0,42
52,MCVS,MAST,1.000,0.0,0.0,41
53,MAST,MCVS,1.000,0.0,0.0,39
54,MCVS,MAST,1.000,0.0,0.0,61
55,MAST,MCVS,0.000,0.0,0.0,14
56,MCVS,MAST,0.000,0.0,0.0,46
57,MAST,MCVS,0.000,0.0,0.0,40
58,MCVS,MAST,1.000,0.0,0.0,31
59,MAST,MCVS,0.000,0.0,0.0,42
60,MCVS,MAST,0.000,0.0,0.0,44
61,MAST,MCVS,1.000,0.0,0.0,11
62,MCVS,MAST,1.000,0.0,0.0,31
63,MAST,MCVS,0.000,0.0,0.0,34
64,MCVS,MAST,1.000,0.0,0.0,15
65,MAST,MCVS,0.000,0.0,0.0,24
66,MCVS,MAST,1.000,0.0,0.0,37
67,MAST,MCVS,1.000,0.0,0.0,51
68,MCVS,MAST,0.000,0.0,0.0,36
69,MAST,MCVS,0.000,0.0,0.0,40
70,MCVS,MAST,0.000,0.0,0.0,40
71,MAST,MCVS,0.000,0.0,0.0,44
72,MCVS,MAST,1.000,0.0,0.0,21
73,MAST,MCVS,1.000,0.0,0.0,45
74,MCVS,MAST,0.000,0.0,0.0,62
75,MAST,MCVS,0.000,0.0,0.0,36
76,MCVS,MAST,1.000,0.0,0.0,51
77,MAST,MCVS,1.000,0.0,0.0,53
78,MCVS,MAST,0.000,0.0,0.0,70
79,MAST,MCVS,0.000,0.0,0.0,40
80,MCVS,MAST,1.000,0.0,0.0,33
81,MAST,MCVS,0.000,0.0,0.0,46
82,MCVS,MAST,1.000,0.0,0.0,37
83,MAST,MCVS,0.000,0.0,0.0,32
84,MCVS,MAST,0.000,0.0,0.0,64
85,MAST,MCVS,1.000,0.0,0.0,51
86,MCVS,MAST,1.000,0.0,0.0,43
87,MAST,MCVS,0.000,0.0,0.0,36
88,MCVS,MAST,1.000,0.0,0.0,35
89,MAST,MCVS,1.000,0.0,0.0,45
90,MCVS,MAST,0.000,0.0,0.0,50
91,MAST,MCVS,0.000,0.0,0.0,16
92,MCVS,MAST,1.000,0.0,0.0,51
93,MAST,MCVS,0.000,0.0,0.0,16
94,MCVS,MAST,1.000,0.0,0.0,31
95,MAST,MCVS,0.000,0.0,0.0,88
96,MCVS,MAST,1.000,0.0,0.0,41
97,MAST,MCVS,0.000,0.0,0.0,46
98,MCVS,MAST,1.000,0.0,0.0,69
99,MAST,MCVS,0.000,0.0,0.0,32
100,MCVS,MAST,1.000,0.0,0.0,29
101,RAVE,MCVS,0.000,0.0,0.0,60
102,MCVS,RAVE,0.000,0.0,0.0,28
103,RAVE,MCVS,0.000,0.0,0.0,50
104,MCVS,RAVE,0.000,0.0,0.0,46
105,RAVE,MCVS,1.000,0.0,0.0,41
106,MCVS,RAVE,0.000,0.0,0.0,62
107,RAVE,MCVS,1.000,0.0,0.0,41
108,MCVS,RAVE,1.000,0.0,0.0,53
109,RAVE,MCVS,1.000,0.0,0.0,55
110,MCVS,RAVE,1.000,0.0,0.0,47
111,RAVE,MCVS,1.000,0.0,0.0,45
112,MCVS,RAVE,0.000,0.0,0.0,78
113,RAVE,MCVS,0.000,0.0,0.0,36
114,MCVS,RAVE,1.000,0.0,0.0,37
115,RAVE,MCVS,1.000,0.0,0.0,11
116,MCVS,RAVE,0.000,0.0,0.0,64
117,RAVE,MCVS,1.000,0.0,0.0,59
118,MCVS,RAVE,1.000,0.0,0.0,39
119,RAVE,MCVS,1.000,0.0,0.0,17
120,MCVS,RAVE,0.000,0.0,0.0,60
121,RAVE,MCVS,1.000,0.0,0.0,71
122,MCVS,RAVE,1.000,0.0,0.0,57
123,RAVE,MCVS,0.000,0.0,0.0,46
124,MCVS,RAVE,0.000,0.0,0.0,60
125,RAVE,MCVS,1.000,0.0,0.0,53
126,MCVS,RAVE,0.000,0.0,0.0,60
127,RAVE,MCVS,1.000,0.0,0.0,55
128,MCVS,RAVE,0.000,0.0,0.0,38
129,RAVE,MCVS,0.000,0.0,0.0,48
130,MCVS,RAVE,0.000,0.0,0.0,48
131,RAVE,MCVS,1.000,0.0,0.0,67
132,MCVS,RAVE,1.000,0.0,0.0,39
133,RAVE,MCVS,1.000,0.0,0.0,23
134,MCVS,RAVE,1.000,0.0,0.0,75
135,RAVE,MCVS,0.000,0.0,0.0,66
136,MCVS,RAVE,1.000,0.0,0.0,63
137,RAVE,MCVS,0.000,0.0,0.0,76
138,MCVS,RAVE,1.000,0.0,0.0,77
139,RAVE,MCVS,0.000,0.0,0.0,24
140,MCVS,RAVE,1.000,0.0,0.0,43
141,RAVE,MCVS,0.000,0.0,0.0,42
142,MCVS,RAVE,1.000,0.0,0.0,45
143,RAVE,MCVS,0.000,0.0,0.0,32
144,MCVS,RAVE,1.000,0.0,0.0,65
145,RAVE,MCVS,0.000,0.0,0.0,78
146,MCVS,RAVE,1.000,0.0,0.0,63
147,RAVE,MCVS,0.000,0.0,0.0,36
148,MCVS,RAVE,0.000,0.0,0.0,40
149,RAVE,MCVS,0.000,0.0,0.0,36
150,MCVS,RAVE,0.000,0.0,0.0,68
