game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,0.000,0.0,0.0,42
2,MCVS,UCT,1.000,0.0,0.0,49
3,UCT,MCVS,0.000,0.0,0.0,20
4,MCVS,UCT,1.000,0.0,0.0,77
5,UCT,MCVS,0.000,0.0,0.0,28
6,MCVS,UCT,1.000,0.0,0.0,55
7,UCT,MCVS,0.000,0.0,0.0,22
8,MCVS,UCT,0.000,0.0,0.0,42
9,UCT,MCVS,0.000,0.0,0.0,40
10,MCVS,UCT,1.000,0.0,0.0,27
11,UCT,MCVS,0.000,0.0,0.0,34
12,MCVS,UCT,0.000,0.0,0.0,50
13,UCT,MCVS,0.000,0.0,0.0,62
14,MCVS,UCT,1.000,0.0,0.0,19
15,UCT,MCVS,0.000,0.0,0.0,68
16,MCVS,UCT,1.000,0.0,0.0,37
17,UCT,MCVS,1.000,0.0,0.0,41
18,MCVS,UCT,1.000,0.0,0.0,47
19,UCT,MCVS,1.000,0.0,0.0,51
20,MCVS,UCT,1.000,0.0,0.0,45
21,UCT,MCVS,0.000,0.0,0.0,40
22,MCVS,UCT,1.000,0.0,0.0,13
23,UCT,MCVS,0.000,0.0,0.0,26
24,MCVS,UCT,1.000,0.0,0.0,51
25,UCT,MCVS,0.000,0.0,0.0,92
26,MCVS,UCT,1.000,0.0,0.0,39
27,UCT,MCVS,1.000,0.0,0.0,33
28,MCVS,UCT,1.000,0.0,0.0,15
29,UCT,MCVS,0.000,0.0,0.0,20
30,MCVS,UCT,1.000,0.0,0.0,51
31,UCT,MCVS,0.000,0.0,0.0,56
32,MCVS,UCT,1.000,0.0,0.0,59
33,UCT,MCVS,0.000,0.0,0.0,54
34,MCVS,UCT,1.000,0.0,0.0,35
35,UCT,MCVS,0.000,0.0,0.0,84
36,MCVS,UCT,0.000,0.0,0.0,70
37,UCT,MCVS,0.000,0.0,0.0,46
38,MCVS,UCT,1.000,0.0,0.0,41
39,UCT,MCVS,1.000,0.0,0.0,63
40,MCVS,UCT,1.000,0.0,0.0,25
41,UCT,MCVS,1.000,0.0,0.0,67
42,MCVS,UCT,1.000,0.0,0.0,25
43,UCT,MCVS,0.000,0.0,0.0,88
44,MCVS,UCT,0.000,0.0,0.0,38
45,UCT,MCVS,0.000,0.0,0.0,16
46,MCVS,UCT,0.000,0.0,0.0,42
47,UCT,MCVS,1.000,0.0,0.0,57
48,MCVS,UCT,1.000,0.0,0.0,27
