game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,0.000,0.0,0.0,38
2,MCVS,UCT,1.000,0.0,0.0,15
3,UCT,MCVS,1.000,0.0,0.0,37
4,MCVS,UCT,1.000,0.0,0.0,13
5,UCT,MCVS,0.000,0.0,0.0,10
6,MCVS,UCT,1.000,0.0,0.0,7
7,UCT,MCVS,0.000,0.0,0.0,10
8,MCVS,UCT,1.000,0.0,0.0,13
9,UCT,MCVS,0.000,0.0,0.0,8
10,MCVS,UCT,1.000,0.0,0.0,13
11,UCT,MCVS,0.000,0.0,0.0,8
12,MCVS,UCT,1.000,0.0,0.0,17
13,UCT,MCVS,0.000,0.0,0.0,36
14,MCVS,UCT,1.000,0.0,0.0,31
15,UCT,MCVS,0.000,0.0,0.0,24
16,MCVS,UCT,1.000,0.0,0.0,23
17,UCT,MCVS,0.000,0.0,0.0,18
18,MCVS,UCT,1.000,0.0,0.0,15
19,UCT,MCVS,0.000,0.0,0.0,16
20,MCVS,UCT,1.000,0.0,0.0,9
21,UCT,MCVS,0.000,0.0,0.0,28
22,MCVS,UCT,1.000,0.0,0.0,7
23,UCT,MCVS,0.000,0.0,0.0,12
24,MCVS,UCT,1.000,0.0,0.0,25
25,UCT,MCVS,0.000,0.0,0.0,12
26,MCVS,UCT,1.000,0.0,0.0,7
27,UCT,MCVS,0.000,0.0,0.0,10
28,MCVS,UCT,1.000,0.0,0.0,7
29,UCT,MCVS,0.000,0.0,0.0,10
30,MCVS,UCT,1.000,0.0,0.0,21
31,UCT,MCVS,0.000,0.0,0.0,18
32,MCVS,UCT,1.000,0.0,0.0,15
33,UCT,MCVS,0.000,0.0,0.0,12
34,MCVS,UCT,1.000,0.0,0.0,7
35,UCT,MCVS,0.000,0.0,0.0,22
36,MCVS,UCT,1.000,0.0,0.0,15
37,UCT,MCVS,0.000,0.0,0.0,10
38,MCVS,UCT,1.000,0.0,0.0,7
39,UCT,MCVS,0.000,0.0,0.0,16
40,MCVS,UCT,1.000,0.0,0.0,7
41,UCT,MCVS,0.000,0.0,0.0,8
42,MCVS,UCT,1.000,0.0,0.0,7
43,UCT,MCVS,0.000,0.0,0.0,8
44,MCVS,UCT,1.000,0.0,0.0,7
45,UCT,MCVS,0.000,0.0,0.0,24
46,MCVS,UCT,1.000,0.0,0.0,7
47,UCT,MCVS,0.000,0.0,0.0,16
48,MCVS,UCT,1.000,0.0,0.0,21
49,UCT,MCVS,1.000,0.0,0.0,17
50,MCVS,UCT,1.000,0.0,0.0,7
51,MAST,MCVS,0.000,0.0,0.0,12
52,MCVS,MAST,1.000,0.0,0.0,15
53,MAST,MCVS,0.000,0.0,0.0,12
54,MCVS,MAST,1.000,0.0,0.0,7
55,MAST,MCVS,0.000,0.0,0.0,10
56,MCVS,MAST,1.000,0.0,0.0,7
57,MAST,MCVS,0.000,0.0,0.0,32
58,MCVS,MAST,1.000,0.0,0.0,15
59,MAST,MCVS,0.000,0.0,0.0,18
60,MCVS,MAST,1.000,0.0,0.0,21
61,MAST,MCVS,0.000,0.0,0.0,16
62,MCVS,MAST,1.000,0.0,0.0,11
63,MAST,MCVS,0.000,0.0,0.0,14
64,MCVS,MAST,1.000,0.0,0.0,7
65,MAST,MCVS,1.000,0.0,0.0,35
66,MCVS,MAST,1.000,0.0,0.0,21
67,MAST,MCVS,1.000,0.0,0.0,25
68,MCVS,MAST,1.000,0.0,0.0,9
69,MAST,MCVS,0.000,0.0,0.0,14
70,MCVS,MAST,1.000,0.0,0.0,13
71,MAST,MCVS,0.000,0.0,0.0,28
72,MCVS,MAST,1.000,0.0,0.0,7
73,MAST,MCVS,0.000,0.0,0.0,22
