game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,1.000,0.0,0.0,127
2,MCVS,UCT,0.000,0.0,0.0,96
3,UCT,MCVS,1.000,0.0,0.0,117
4,MCVS,UCT,0.000,0.0,0.0,110
5,UCT,MCVS,1.000,0.0,0.0,3
6,MCVS,UCT,0.000,0.0,0.0,108
7,UCT,MCVS,1.000,0.0,0.0,89
8,MCVS,UCT,0.000,0.0,0.0,94
9,UCT,MCVS,1.000,0.0,0.0,92
10,MCVS,UCT,0.000,0.0,0.0,114
11,UCT,MCVS,1.000,0.0,0.0,125
12,MCVS,UCT,1.000,0.0,0.0,124
13,UCT,MCVS,1.000,0.0,0.0,107
14,MCVS,UCT,1.000,0.0,0.0,79
15,UCT,MCVS,0.000,0.0,0.0,82
16,MCVS,UCT,0.500,0.0,0.0,78
17,UCT,MCVS,1.000,0.0,0.0,121
18,MCVS,UCT,0.000,0.0,0.0,83
19,UCT,MCVS,1.000,0.0,0.0,73
20,MCVS,UCT,0.000,0.0,0.0,102
21,UCT,MCVS,1.000,0.0,0.0,90
22,MCVS,UCT,1.000,0.0,0.0,35
23,UCT,MCVS,0.000,0.0,0.0,92
24,MCVS,UCT,0.000,0.0,0.0,78
25,UCT,MCVS,1.000,0.0,0.0,55
26,MCVS,UCT,0.500,0.0,0.0,7
27,UCT,MCVS,1.000,0.0,0.0,108
28,MCVS,UCT,0.000,0.0,0.0,116
29,UCT,MCVS,1.000,0.0,0.0,114
30,MCVS,UCT,0.000,0.0,0.0,93
31,UCT,MCVS,0.000,0.0,0.0,88
32,MCVS,UCT,0.500,0.0,0.0,5
33,UCT,MCVS,1.000,0.0,0.0,143
34,MCVS,UCT,0.000,0.0,0.0,58
35,UCT,MCVS,0.000,0.0,0.0,95
36,MCVS,UCT,0.000,0.0,0.0,74
37,UCT,MCVS,1.000,0.0,0.0,124
38,MCVS,UCT,0.000,0.0,0.0,140
39,UCT,MCVS,1.000,0.0,0.0,123
40,MCVS,UCT,0.000,0.0,0.0,123
41,UCT,MCVS,1.000,0.0,0.0,93
42,MCVS,UCT,0.000,0.0,0.0,80
43,UCT,MCVS,1.000,0.0,0.0,85
44,MCVS,UCT,0.000,0.0,0.0,105
45,UCT,MCVS,0.000,0.0,0.0,52
46,MCVS,UCT,0.000,0.0,0.0,113
47,UCT,MCVS,0.000,0.0,0.0,114
48,MCVS,UCT,0.000,0.0,0.0,134
49,UCT,MCVS,1.000,0.0,0.0,110
50,MCVS,UCT,0.500,0.0,0.0,7
51,MAST,MCVS,0.000,0.0,0.0,102
52,MCVS,MAST,1.000,0.0,0.0,111
53,MAST,MCVS,0.000,0.0,0.0,114
54,MCVS,MAST,1.000,0.0,0.0,106
55,MAST,MCVS,0.000,0.0,0.0,95
56,MCVS,MAST,1.000,0.0,0.0,102
57,MAST,MCVS,0.000,0.0,0.0,70
58,MCVS,MAST,0.000,0.0,0.0,90
59,MAST,MCVS,0.000,0.0,0.0,96
60,MCVS,MAST,1.000,0.0,0.0,93
