game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,0.000,0.0,0.0,22
2,MCVS,UCT,0.000,0.0,0.0,32
3,UCT,MCVS,1.000,0.0,0.0,9
4,MCVS,UCT,1.000,0.0,0.0,13
5,UCT,MCVS,0.000,0.0,0.0,18
6,MCVS,UCT,1.000,0.0,0.0,23
7,UCT,MCVS,1.000,0.0,0.0,17
8,MCVS,UCT,1.000,0.0,0.0,27
9,UCT,MCVS,1.000,0.0,0.0,11
10,MCVS,UCT,1.000,0.0,0.0,13
11,UCT,MCVS,0.000,0.0,0.0,24
12,MCVS,UCT,0.000,0.0,0.0,18
13,UCT,MCVS,0.000,0.0,0.0,16
14,MCVS,UCT,1.000,0.0,0.0,15
15,UCT,MCVS,1.000,0.0,0.0,21
16,MCVS,UCT,1.000,0.0,0.0,33
17,UCT,MCVS,0.000,0.0,0.0,24
18,MCVS,UCT,1.000,0.0,0.0,35
19,UCT,MCVS,1.000,0.0,0.0,25
20,MCVS,UCT,1.000,0.0,0.0,21
21,UCT,MCVS,0.000,0.0,0.0,16
22,MCVS,UCT,1.000,0.0,0.0,15
23,UCT,MCVS,0.000,0.0,0.0,20
24,MCVS,UCT,1.000,0.0,0.0,17
25,UCT,MCVS,1.000,0.0,0.0,11
26,MCVS,UCT,1.000,0.0,0.0,19
27,UCT,MCVS,0.000,0.0,0.0,22
28,MCVS,UCT,0.000,0.0,0.0,22
29,UCT,MCVS,0.000,0.0,0.0,22
30,MCVS,UCT,1.000,0.0,0.0,25
31,UCT,MCVS,0.000,0.0,0.0,18
32,MCVS,UCT,0.000,0.0,0.0,26
33,UCT,MCVS,1.000,0.0,0.0,17
34,MCVS,UCT,1.000,0.0,0.0,19
35,UCT,MCVS,1.000,0.0,0.0,19
36,MCVS,UCT,0.000,0.0,0.0,24
37,UCT,MCVS,1.000,0.0,0.0,19
38,MCVS,UCT,0.000,0.0,0.0,18
39,UCT,MCVS,1.000,0.0,0.0,19
40,MCVS,UCT,1.000,0.0,0.0,21
41,UCT,MCVS,0.000,0.0,0.0,22
42,MCVS,UCT,1.000,0.0,0.0,33
43,UCT,MCVS,0.000,0.0,0.0,14
44,MCVS,UCT,1.000,0.0,0.0,25
45,UCT,MCVS,0.000,0.0,0.0,14
46,MCVS,UCT,1.000,0.0,0.0,17
47,UCT,MCVS,1.000,0.0,0.0,23
48,MCVS,UCT,1.000,0.0,0.0,17
