game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,0.000,0.0,0.0,18
2,MCVS,UCT,1.000,0.0,0.0,39
3,UCT,MCVS,0.000,0.0,0.0,24
4,MCVS,UCT,1.000,0.0,0.0,25
5,UCT,MCVS,0.000,0.0,0.0,32
6,MCVS,UCT,1.000,0.0,0.0,19
7,UCT,MCVS,0.000,0.0,0.0,20
8,MCVS,UCT,1.000,0.0,0.0,19
9,UCT,MCVS,0.000,0.0,0.0,24
10,MCVS,UCT,0.000,0.0,0.0,18
11,UCT,MCVS,1.000,0.0,0.0,15
12,MCVS,UCT,1.000,0.0,0.0,15
13,UCT,MCVS,0.000,0.0,0.0,24
14,MCVS,UCT,1.000,0.0,0.0,19
15,UCT,MCVS,1.000,0.0,0.0,21
16,MCVS,UCT,1.000,0.0,0.0,27
17,UCT,MCVS,0.000,0.0,0.0,28
18,MCVS,UCT,0.000,0.0,0.0,24
19,UCT,MCVS,1.000,0.0,0.0,19
20,MCVS,UCT,1.000,0.0,0.0,17
21,UCT,MCVS,0.000,0.0,0.0,18
22,MCVS,UCT,1.000,0.0,0.0,15
23,UCT,MCVS,0.000,0.0,0.0,18
24,MCVS,UCT,1.000,0.0,0.0,15
25,UCT,MCVS,1.000,0.0,0.0,15
26,MCVS,UCT,1.000,0.0,0.0,21
27,UCT,MCVS,1.000,0.0,0.0,33
28,MCVS,UCT,1.000,0.0,0.0,27
29,UCT,MCVS,0.000,0.0,0.0,14
30,MCVS,UCT,0.000,0.0,0.0,30
31,UCT,MCVS,1.000,0.0,0.0,21
32,MCVS,UCT,1.000,0.0,0.0,17
33,UCT,MCVS,0.000,0.0,0.0,22
34,MCVS,UCT,1.000,0.0,0.0,15
35,UCT,MCVS,1.000,0.0,0.0,25
36,MCVS,UCT,1.000,0.0,0.0,23
37,UCT,MCVS,1.000,0.0,0.0,25
38,MCVS,UCT,1.000,0.0,0.0,13
39,UCT,MCVS,1.000,0.0,0.0,23
40,MCVS,UCT,1.000,0.0,0.0,31
41,UCT,MCVS,1.000,0.0,0.0,17
42,MCVS,UCT,1.000,0.0,0.0,19
43,UCT,MCVS,1.000,0.0,0.0,23
44,MCVS,UCT,1.000,0.0,0.0,19
45,UCT,MCVS,1.000,0.0,0.0,23
46,MCVS,UCT,1.000,0.0,0.0,13
47,UCT,MCVS,0.000,0.0,0.0,30
48,MCVS,UCT,0.000,0.0,0.0,36
49,UCT,MCVS,0.000,0.0,0.0,34
50,MCVS,UCT,0.000,0.0,0.0,20
51,MAST,MCVS,0.000,0.0,0.0,28
52,MCVS,MAST,0.000,0.0,0.0,24
53,MAST,MCVS,0.000,0.0,0.0,24
54,MCVS,MAST,1.000,0.0,0.0,27
55,MAST,MCVS,1.000,0.0,0.0,27
56,MCVS,MAST,1.000,0.0,0.0,31
57,MAST,MCVS,0.000,0.0,0.0,34
58,MCVS,MAST,1.000,0.0,0.0,15
59,MAST,MCVS,1.000,0.0,0.0,11
60,MCVS,MAST,0.000,0.0,0.0,26
61,MAST,MCVS,1.000,0.0,0.0,25
62,MCVS,MAST,1.000,0.0,0.0,27
63,MAST,MCVS,0.000,0.0,0.0,40
64,MCVS,MAST,1.000,0.0,0.0,23
65,MAST,MCVS,0.000,0.0,0.0,28
66,MCVS,MAST,1.000,0.0,0.0,25
67,MAST,MCVS,1.000,0.0,0.0,21
68,MCVS,MAST,0.000,0.0,0.0,14
69,MAST,MCVS,1.000,0.0,0.0,21
70,MCVS,MAST,1.000,0.0,0.0,31
71,MAST,MCVS,0.000,0.0,0.0,22
72,MCVS,MAST,0.000,0.0,0.0,32
73,MAST,MCVS,0.000,0.0,0.0,30
74,MCVS,MAST,1.000,0.0,0.0,27
75,MAST,MCVS,1.000,0.0,0.0,19
76,MCVS,MAST,1.000,0.0,0.0,29
77,MAST,MCVS,1.000,0.0,0.0,21
78,MCVS,MAST,1.000,0.0,0.0,25
79,MAST,MCVS,1.000,0.0,0.0,15
80,MCVS,MAST,1.000,0.0,0.0,15
81,MAST,MCVS,1.000,0.0,0.0,11
82,MCVS,MAST,0.000,0.0,0.0,26
83,MAST,MCVS,0.000,0.0,0.0,30
84,MCVS,MAST,1.000,0.0,0.0,25
85,MAST,MCVS,1.000,0.0,0.0,15
86,MCVS,MAST,1.000,0.0,0.0,41
87,MAST,MCVS,0.000,0.0,0.0,26
88,MCVS,MAST,1.000,0.0,0.0,23
89,MAST,MCVS,1.000,0.0,0.0,23
90,MCVS,MAST,1.000,0.0,0.0,21
91,MAST,MCVS,1.000,0.0,0.0,17
92,MCVS,MAST,0.000,0.0,0.0,12
93,MAST,MCVS,0.000,0.0,0.0,16
94,MCVS,MAST,1.000,0.0,0.0,35
95,MAST,MCVS,0.000,0.0,0.0,20
96,MCVS,MAST,1.000,0.0,0.0,17
97,MAST,MCVS,1.000,0.0,0.0,11
98,MCVS,MAST,0.000,0.0,0.0,18
99,MAST,MCVS,0.000,0.0,0.0,20
100,MCVS,MAST,1.000,0.0,0.0,21
101,RAVE,MCVS,1.000,0.0,0.0,11
102,MCVS,RAVE,1.000,0.0,0.0,21
103,RAVE,MCVS,1.000,0.0,0.0,21
104,MCVS,RAVE,1.000,0.0,0.0,13
105,RAVE,MCVS,1.000,0.0,0.0,11
106,MCVS,RAVE,0.000,0.0,0.0,20
107,RAVE,MCVS,1.000,0.0,0.0,15
108,MCVS,RAVE,1.000,0.0,0.0,19
109,RAVE,MCVS,1.000,0.0,0.0,11
110,MCVS,RAVE,1.000,0.0,0.0,13
111,RAVE,MCVS,1.000,0.0,0.0,15
112,MCVS,RAVE,0.000,0.0,0.0,16
113,RAVE,MCVS,1.000,0.0,0.0,11
114,MCVS,RAVE,0.000,0.0,0.0,24
115,RAVE,MCVS,0.000,0.0,0.0,18
116,MCVS,RAVE,0.000,0.0,0.0,16
117,RAVE,MCVS,1.000,0.0,0.0,19
118,MCVS,RAVE,0.000,0.0,0.0,22
119,RAVE,MCVS,1.000,0.0,0.0,19
120,MCVS,RAVE,0.000,0.0,0.0,18
121,RAVE,MCVS,1.000,0.0,0.0,11
122,MCVS,RAVE,1.000,0.0,0.0,21
123,RAVE,MCVS,1.000,0.0,0.0,17
124,MCVS,RAVE,0.000,0.0,0.0,16
125,RAVE,MCVS,0.000,0.0,0.0,12
126,MCVS,RAVE,1.000,0.0,0.0,23
