game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,0.000,0.0,0.0,10
2,MCVS,UCT,1.000,0.0,0.0,9
3,UCT,MCVS,0.000,0.0,0.0,10
4,MCVS,UCT,1.000,0.0,0.0,9
5,UCT,MCVS,1.000,0.0,0.0,9
6,MCVS,UCT,1.000,0.0,0.0,11
7,UCT,MCVS,0.000,0.0,0.0,14
8,MCVS,UCT,1.000,0.0,0.0,9
9,UCT,MCVS,0.000,0.0,0.0,12
10,MCVS,UCT,1.000,0.0,0.0,13
11,UCT,MCVS,0.000,0.0,0.0,10
12,MCVS,UCT,1.000,0.0,0.0,9
13,UCT,MCVS,0.000,0.0,0.0,12
14,MCVS,UCT,1.000,0.0,0.0,9
15,UCT,MCVS,0.000,0.0,0.0,10
16,MCVS,UCT,1.000,0.0,0.0,9
17,UCT,MCVS,0.000,0.0,0.0,10
18,MCVS,UCT,1.000,0.0,0.0,9
19,UCT,MCVS,0.000,0.0,0.0,10
20,MCVS,UCT,0.000,0.0,0.0,10
21,UCT,MCVS,0.000,0.0,0.0,12
22,MCVS,UCT,1.000,0.0,0.0,11
23,UCT,MCVS,1.000,0.0,0.0,13
24,MCVS,UCT,1.000,0.0,0.0,9
25,UCT,MCVS,0.000,0.0,0.0,14
26,MCVS,UCT,1.000,0.0,0.0,9
27,UCT,MCVS,0.000,0.0,0.0,12
28,MCVS,UCT,1.000,0.0,0.0,12
29,UCT,MCVS,0.000,0.0,0.0,10
30,MCVS,UCT,1.000,0.0,0.0,11
31,UCT,MCVS,0.000,0.0,0.0,12
32,MCVS,UCT,1.000,0.0,0.0,13
33,UCT,MCVS,0.000,0.0,0.0,10
34,MCVS,UCT,1.000,0.0,0.0,9
35,UCT,MCVS,1.000,0.0,0.0,9
36,MCVS,UCT,1.000,0.0,0.0,9
37,UCT,MCVS,0.000,0.0,0.0,10
38,MCVS,UCT,1.000,0.0,0.0,9
39,UCT,MCVS,1.000,0.0,0.0,11
40,MCVS,UCT,1.000,0.0,0.0,9
41,UCT,MCVS,0.000,0.0,0.0,10
42,MCVS,UCT,1.000,0.0,0.0,9
43,UCT,MCVS,1.000,0.0,0.0,17
44,MCVS,UCT,1.000,0.0,0.0,9
45,UCT,MCVS,1.000,0.0,0.0,9
46,MCVS,UCT,1.000,0.0,0.0,9
47,UCT,MCVS,1.000,0.0,0.0,13
48,MCVS,UCT,1.000,0.0,0.0,9
49,UCT,MCVS,0.000,0.0,0.0,12
50,MCVS,UCT,1.000,0.0,0.0,9
51,MAST,MCVS,0.000,0.0,0.0,10
52,MCVS,MAST,1.000,0.0,0.0,13
53,MAST,MCVS,1.000,0.0,0.0,11
54,MCVS,MAST,1.000,0.0,0.0,9
55,MAST,MCVS,0.000,0.0,0.0,10
56,MCVS,MAST,1.000,0.0,0.0,9
57,MAST,MCVS,1.000,0.0,0.0,9
58,MCVS,MAST,1.000,0.0,0.0,9
59,MAST,MCVS,1.000,0.0,0.0,11
60,MCVS,MAST,1.000,0.0,0.0,13
61,MAST,MCVS,1.000,0.0,0.0,11
62,MCVS,MAST,1.000,0.0,0.0,9
63,MAST,MCVS,0.000,0.0,0.0,10
64,MCVS,MAST,1.000,0.0,0.0,11
65,MAST,MCVS,0.000,0.0,0.0,10
66,MCVS,MAST,1.000,0.0,0.0,9
67,MAST,MCVS,0.000,0.0,0.0,10
68,MCVS,MAST,1.000,0.0,0.0,9
69,MAST,MCVS,1.000,0.0,0.0,9
70,MCVS,MAST,1.000,0.0,0.0,9
71,MAST,MCVS,1.000,0.0,0.0,9
72,MCVS,MAST,0.000,0.0,0.0,12
73,MAST,MCVS,1.000,0.0,0.0,9
74,MCVS,MAST,1.000,0.0,0.0,11
75,MAST,MCVS,0.000,0.0,0.0,10
