game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,0.000,0.0,0.0,22
2,MCVS,UCT,0.000,0.0,0.0,22
3,UCT,MCVS,0.000,0.0,0.0,32
4,MCVS,UCT,1.000,0.0,0.0,15
5,UCT,MCVS,1.000,0.0,0.0,21
6,MCVS,UCT,0.000,0.0,0.0,14
7,UCT,MCVS,1.000,0.0,0.0,19
8,MCVS,UCT,1.000,0.0,0.0,19
9,UCT,MCVS,0.000,0.0,0.0,20
10,MCVS,UCT,0.000,0.0,0.0,14
11,UCT,MCVS,0.000,0.0,0.0,18
12,MCVS,UCT,1.000,0.0,0.0,17
13,UCT,MCVS,0.000,0.0,0.0,14
14,MCVS,UCT,1.000,0.0,0.0,13
15,UCT,MCVS,0.000,0.0,0.0,16
16,MCVS,UCT,1.000,0.0,0.0,21
17,UCT,MCVS,0.000,0.0,0.0,20
18,MCVS,UCT,1.000,0.0,0.0,19
19,UCT,MCVS,0.000,0.0,0.0,18
20,MCVS,UCT,1.000,0.0,0.0,13
21,UCT,MCVS,0.000,0.0,0.0,20
22,MCVS,UCT,1.000,0.0,0.0,17
23,UCT,MCVS,0.000,0.0,0.0,18
24,MCVS,UCT,1.000,0.0,0.0,13
25,UCT,MCVS,0.000,0.0,0.0,16
26,MCVS,UCT,1.000,0.0,0.0,31
27,UCT,MCVS,1.000,0.0,0.0,19
28,MCVS,UCT,0.000,0.0,0.0,20
29,UCT,MCVS,0.000,0.0,0.0,16
30,MCVS,UCT,1.000,0.0,0.0,21
31,UCT,MCVS,0.000,0.0,0.0,25
32,MCVS,UCT,1.000,0.0,0.0,19
33,UCT,MCVS,1.000,0.0,0.0,29
34,MCVS,UCT,1.000,0.0,0.0,17
35,UCT,MCVS,1.000,0.0,0.0,23
36,MCVS,UCT,1.000,0.0,0.0,21
37,UCT,MCVS,0.000,0.0,0.0,18
38,MCVS,UCT,0.000,0.0,0.0,24
39,UCT,MCVS,0.000,0.0,0.0,17
40,MCVS,UCT,1.000,0.0,0.0,19
41,UCT,MCVS,0.000,0.0,0.0,14
42,MCVS,UCT,1.000,0.0,0.0,25
43,UCT,MCVS,0.000,0.0,0.0,16
44,MCVS,UCT,1.000,0.0,0.0,15
45,UCT,MCVS,1.000,0.0,0.0,29
46,MCVS,UCT,1.000,0.0,0.0,17
47,UCT,MCVS,0.000,0.0,0.0,16
48,MCVS,UCT,1.000,0.0,0.0,19
49,UCT,MCVS,0.000,0.0,0.0,16
50,MCVS,UCT,1.000,0.0,0.0,17
51,MAST,MCVS,0.000,0.0,0.0,20
52,MCVS,MAST,1.000,0.0,0.0,19
53,MAST,MCVS,1.000,0.0,0.0,15
54,MCVS,MAST,1.000,0.0,0.0,19
55,MAST,MCVS,1.000,0.0,0.0,17
56,MCVS,MAST,1.000,0.0,0.0,13
57,MAST,MCVS,1.000,0.0,0.0,23
58,MCVS,MAST,1.000,0.0,0.0,29
59,MAST,MCVS,1.000,0.0,0.0,13
60,MCVS,MAST,1.000,0.0,0.0,19
61,MAST,MCVS,0.000,0.0,0.0,20
62,MCVS,MAST,0.000,0.0,0.0,16
63,MAST,MCVS,0.000,0.0,0.0,14
