game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,0.000,0.0,0.0,44
2,MCVS,UCT,1.000,0.0,0.0,111
3,UCT,MCVS,1.000,0.0,0.0,7
4,MCVS,UCT,0.000,0.0,0.0,117
5,UCT,MCVS,0.000,0.0,0.0,27
6,MCVS,UCT,0.000,0.0,0.0,85
7,UCT,MCVS,0.500,0.0,0.0,117
8,MCVS,UCT,0.000,0.0,0.0,73
9,UCT,MCVS,1.000,0.0,0.0,43
10,MCVS,UCT,0.500,0.0,0.0,150
11,UCT,MCVS,0.500,0.0,0.0,150
12,MCVS,UCT,0.000,0.0,0.0,31
13,UCT,MCVS,1.000,0.0,0.0,54
14,MCVS,UCT,0.000,0.0,0.0,20
15,UCT,MCVS,1.000,0.0,0.0,59
16,MCVS,UCT,0.500,0.0,0.0,150
17,UCT,MCVS,0.000,0.0,0.0,55
18,MCVS,UCT,0.000,0.0,0.0,66
19,UCT,MCVS,0.000,0.0,0.0,56
20,MCVS,UCT,0.500,0.0,0.0,150
21,UCT,MCVS,0.000,0.0,0.0,46
22,MCVS,UCT,0.000,0.0,0.0,45
23,UCT,MCVS,1.000,0.0,0.0,61
24,MCVS,UCT,0.000,0.0,0.0,80
25,UCT,MCVS,0.000,0.0,0.0,46
26,MCVS,UCT,0.500,0.0,0.0,150
27,UCT,MCVS,0.500,0.0,0.0,150
28,MCVS,UCT,1.000,0.0,0.0,87
29,UCT,MCVS,0.000,0.0,0.0,95
30,MCVS,UCT,0.000,0.0,0.0,32
31,UCT,MCVS,0.500,0.0,0.0,150
32,MCVS,UCT,0.500,0.0,0.0,150
33,UCT,MCVS,0.500,0.0,0.0,150
34,MCVS,UCT,0.500,0.0,0.0,150
35,UCT,MCVS,1.000,0.0,0.0,53
36,MCVS,UCT,0.000,0.0,0.0,56
37,UCT,MCVS,1.000,0.0,0.0,53
38,MCVS,UCT,0.000,0.0,0.0,86
39,UCT,MCVS,1.000,0.0,0.0,46
40,MCVS,UCT,0.500,0.0,0.0,150
41,UCT,MCVS,1.000,0.0,0.0,61
42,MCVS,UCT,0.000,0.0,0.0,80
43,UCT,MCVS,1.000,0.0,0.0,49
44,MCVS,UCT,1.000,0.0,0.0,44
45,UCT,MCVS,1.000,0.0,0.0,23
46,MCVS,UCT,1.000,0.0,0.0,66
47,UCT,MCVS,0.000,0.0,0.0,60
48,MCVS,UCT,0.000,0.0,0.0,37
49,UCT,MCVS,1.000,0.0,0.0,24
50,MCVS,UCT,0.000,0.0,0.0,118
51,MAST,MCVS,1.000,0.0,0.0,41
52,MCVS,MAST,0.000,0.0,0.0,37
53,MAST,MCVS,1.000,0.0,0.0,17
54,MCVS,MAST,0.000,0.0,0.0,66
55,MAST,MCVS,0.500,0.0,0.0,150
56,MCVS,MAST,1.000,0.0,0.0,37
57,MAST,MCVS,0.000,0.0,0.0,26
58,MCVS,MAST,0.000,0.0,0.0,8
59,MAST,MCVS,1.000,0.0,0.0,13
60,MCVS,MAST,0.000,0.0,0.0,43
61,MAST,MCVS,1.000,0.0,0.0,51
62,MCVS,MAST,1.000,0.0,0.0,53
63,MAST,MCVS,1.000,0.0,0.0,31
64,MCVS,MAST,0.000,0.0,0.0,16
65,MAST,MCVS,1.000,0.0,0.0,62
66,MCVS,MAST,0.500,0.0,0.0,150
67,MAST,MCVS,1.000,0.0,0.0,116
68,MCVS,MAST,1.000,0.0,0.0,36
69,MAST,MCVS,1.000,0.0,0.0,55
70,MCVS,MAST,0.000,0.0,0.0,32
71,MAST,MCVS,1.000,0.0,0.0,29
72,MCVS,MAST,0.000,0.0,0.0,36
73,MAST,MCVS,1.000,0.0,0.0,53
74,MCVS,MAST,0.000,0.0,0.0,20
75,MAST,MCVS,1.000,0.0,0.0,41
76,MCVS,MAST,0.000,0.0,0.0,24
77,MAST,MCVS,1.000,0.0,0.0,48
78,MCVS,MAST,0.000,0.0,0.0,49
