game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,0.000,0.0,0.0,66
2,MCVS,UCT,1.000,0.0,0.0,63
3,UCT,MCVS,0.000,0.0,0.0,62
4,MCVS,UCT,0.000,0.0,0.0,64
5,UCT,MCVS,0.000,0.0,0.0,62
6,MCVS,UCT,1.000,0.0,0.0,63
7,UCT,MCVS,0.000,0.0,0.0,64
8,MCVS,UCT,1.000,0.0,0.0,70
9,UCT,MCVS,0.000,0.0,0.0,63
10,MCVS,UCT,1.000,0.0,0.0,64
11,UCT,MCVS,0.000,0.0,0.0,62
12,MCVS,UCT,1.000,0.0,0.0,62
13,UCT,MCVS,0.000,0.0,0.0,64
14,MCVS,UCT,1.000,0.0,0.0,65
15,UCT,MCVS,1.000,0.0,0.0,62
16,MCVS,UCT,1.000,0.0,0.0,61
17,UCT,MCVS,0.000,0.0,0.0,62
18,MCVS,UCT,1.000,0.0,0.0,64
19,UCT,MCVS,0.000,0.0,0.0,62
20,MCVS,UCT,1.000,0.0,0.0,65
21,UCT,MCVS,0.000,0.0,0.0,63
22,MCVS,UCT,0.000,0.0,0.0,62
23,UCT,MCVS,0.000,0.0,0.0,63
24,MCVS,UCT,1.000,0.0,0.0,63
25,UCT,MCVS,0.000,0.0,0.0,62
26,MCVS,UCT,0.000,0.0,0.0,62
27,UCT,MCVS,0.000,0.0,0.0,63
28,MCVS,UCT,1.000,0.0,0.0,64
29,UCT,MCVS,0.000,0.0,0.0,62
30,MCVS,UCT,1.000,0.0,0.0,62
31,UCT,MCVS,1.000,0.0,0.0,63
32,MCVS,UCT,1.000,0.0,0.0,62
33,UCT,MCVS,0.000,0.0,0.0,62
34,MCVS,UCT,1.000,0.0,0.0,65
35,UCT,MCVS,0.000,0.0,0.0,64
36,MCVS,UCT,1.000,0.0,0.0,63
37,UCT,MCVS,0.000,0.0,0.0,62
38,MCVS,UCT,1.000,0.0,0.0,62
39,UCT,MCVS,0.000,0.0,0.0,62
40,MCVS,UCT,1.000,0.0,0.0,63
41,UCT,MCVS,1.000,0.0,0.0,62
42,MCVS,UCT,1.000,0.0,0.0,64
43,UCT,MCVS,0.000,0.0,0.0,63
44,MCVS,UCT,1.000,0.0,0.0,63
45,UCT,MCVS,1.000,0.0,0.0,63
46,MCVS,UCT,1.000,0.0,0.0,69
47,UCT,MCVS,0.000,0.0,0.0,63
48,MCVS,UCT,1.000,0.0,0.0,62
49,UCT,MCVS,0.000,0.0,0.0,62
50,MCVS,UCT,1.000,0.0,0.0,63
51,MAST,MCVS,0.000,0.0,0.0,62
52,MCVS,MAST,1.000,0.0,0.0,62
53,MAST,MCVS,0.000,0.0,0.0,62
54,MCVS,MAST,0.000,0.0,0.0,62
55,MAST,MCVS,0.000,0.0,0.0,64
56,MCVS,MAST,1.000,0.0,0.0,62
57,MAST,MCVS,0.000,0.0,0.0,62
58,MCVS,MAST,0.000,0.0,0.0,62
59,MAST,MCVS,1.000,0.0,0.0,62
60,MCVS,MAST,0.000,0.0,0.0,64
61,MAST,MCVS,0.000,0.0,0.0,62
62,MCVS,MAST,0.000,0.0,0.0,62
63,MAST,MCVS,1.000,0.0,0.0,63
64,MCVS,MAST,1.000,0.0,0.0,62
65,MAST,MCVS,1.000,0.0,0.0,63
66,MCVS,MAST,1.000,0.0,0.0,62
67,MAST,MCVS,0.000,0.0,0.0,62
68,MCVS,MAST,0.000,0.0,0.0,62
69,MAST,MCVS,1.000,0.0,0.0,64
70,MCVS,MAST,0.000,0.0,0.0,62
71,MAST,MCVS,0.000,0.0,0.0,62
72,MCVS,MAST,1.000,0.0,0.0,62
73,MAST,MCVS,0.000,0.0,0.0,64
74,MCVS,MAST,0.000,0.0,0.0,64
75,MAST,MCVS,1.000,0.0,0.0,63
76,MCVS,MAST,0.000,0.0,0.0,62
77,MAST,MCVS,0.000,0.0,0.0,65
78,MCVS,MAST,1.000,0.0,0.0,11
79,MAST,MCVS,1.000,0.0,0.0,62
80,MCVS,MAST,0.000,0.0,0.0,62
81,MAST,MCVS,0.000,0.0,0.0,63
82,MCVS,MAST,0.000,0.0,0.0,62
83,MAST,MCVS,0.000,0.0,0.0,62
84,MCVS,MAST,1.000,0.0,0.0,63
85,MAST,MCVS,0.000,0.0,0.0,62
86,MCVS,MAST,0.000,0.0,0.0,62
87,MAST,MCVS,1.000,0.0,0.0,63
88,MCVS,MAST,0.000,0.0,0.0,62
89,MAST,MCVS,1.000,0.0,0.0,63
90,MCVS,MAST,1.000,0.0,0.0,62
91,MAST,MCVS,0.000,0.0,0.0,63
92,MCVS,MAST,0.000,0.0,0.0,63
93,MAST,MCVS,1.000,0.0,0.0,63
94,MCVS,MAST,0.000,0.0,0.0,62
95,MAST,MCVS,0.000,0.0,0.0,62
96,MCVS,MAST,0.000,0.0,0.0,62
97,MAST,MCVS,1.000,0.0,0.0,62
98,MCVS,MAST,1.000,0.0,0.0,62
99,MAST,MCVS,0.000,0.0,0.0,62
100,MCVS,MAST,0.000,0.0,0.0,66
101,RAVE,MCVS,1.000,0.0,0.0,64
102,MCVS,RAVE,0.000,0.0,0.0,63
103,RAVE,MCVS,0.000,0.0,0.0,62
104,MCVS,RAVE,1.000,0.0,0.0,62
105,RAVE,MCVS,0.000,0.0,0.0,63
106,MCVS,RAVE,1.000,0.0,0.0,62
107,RAVE,MCVS,0.500,0.0,0.0,62
108,MCVS,RAVE,1.000,0.0,0.0,62
109,RAVE,MCVS,0.000,0.0,0.0,63
110,MCVS,RAVE,1.000,0.0,0.0,63
111,RAVE,MCVS,0.500,0.0,0.0,62
112,MCVS,RAVE,1.000,0.0,0.0,65
113,RAVE,MCVS,1.000,0.0,0.0,62
114,MCVS,RAVE,1.000,0.0,0.0,64
115,RAVE,MCVS,0.000,0.0,0.0,62
116,MCVS,RAVE,1.000,0.0,0.0,65
117,RAVE,MCVS,0.000,0.0,0.0,62
118,MCVS,RAVE,1.000,0.0,0.0,62
119,RAVE,MCVS,1.000,0.0,0.0,62
120,MCVS,RAVE,1.000,0.0,0.0,63
121,RAVE,MCVS,0.000,0.0,0.0,62
122,MCVS,RAVE,1.000,0.0,0.0,63
123,RAVE,MCVS,1.000,0.0,0.0,63
124,MCVS,RAVE,1.000,0.0,0.0,64
125,RAVE,MCVS,0.000,0.0,0.0,62
126,MCVS,RAVE,1.000,0.0,0.0,63
127,RAVE,MCVS,0.000,0.0,0.0,62
128,MCVS,RAVE,1.000,0.0,0.0,62
129,RAVE,MCVS,0.000,0.0,0.0,62
130,MCVS,RAVE,1.000,0.0,0.0,62
131,RAVE,MCVS,0.000,0.0,0.0,62
132,MCVS,RAVE,0.000,0.0,0.0,62
133,RAVE,MCVS,0.500,0.0,0.0,62
134,MCVS,RAVE,1.000,0.0,0.0,64
135,RAVE,MCVS,1.000,0.0,0.0,67
136,MCVS,RAVE,1.000,0.0,0.0,62
137,RAVE,MCVS,1.000,0.0,0.0,62
138,MCVS,RAVE,0.000,0.0,0.0,62
139,RAVE,MCVS,1.000,0.0,0.0,63
140,MCVS,RAVE,1.000,0.0,0.0,62
141,RAVE,MCVS,1.000,0.0,0.0,63
142,MCVS,RAVE,1.000,0.0,0.0,63
143,RAVE,MCVS,0.000,0.0,0.0,62
144,MCVS,RAVE,0.000,0.0,0.0,62
145,RAVE,MCVS,0.000,0.0,0.0,62
146,MCVS,RAVE,1.000,0.0,0.0,63
147,RAVE,MCVS,0.000,0.0,0.0,64
148,MCVS,RAVE,0.000,0.0,0.0,62
149,RAVE,MCVS,0.000,0.0,0.0,63
150,MCVS,RAVE,1.000,0.0,0.0,63
