game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,0.000,0.0,0.0,30
2,MCVS,UCT,0.000,0.0,0.0,30
3,UCT,MCVS,0.000,0.0,0.0,34
4,MCVS,UCT,1.000,0.0,0.0,29
5,UCT,MCVS,1.000,0.0,0.0,27
6,MCVS,UCT,1.000,0.0,0.0,23
7,UCT,MCVS,1.000,0.0,0.0,25
8,MCVS,UCT,1.000,0.0,0.0,23
9,UCT,MCVS,0.000,0.0,0.0,28
10,MCVS,UCT,1.000,0.0,0.0,27
11,UCT,MCVS,0.000,0.0,0.0,30
12,MCVS,UCT,0.000,0.0,0.0,34
13,UCT,MCVS,0.000,0.0,0.0,36
14,MCVS,UCT,0.000,0.0,0.0,30
15,UCT,MCVS,1.000,0.0,0.0,29
16,MCVS,UCT,1.000,0.0,0.0,23
17,UCT,MCVS,0.000,0.0,0.0,28
18,MCVS,UCT,1.000,0.0,0.0,25
19,UCT,MCVS,1.000,0.0,0.0,29
20,MCVS,UCT,1.000,0.0,0.0,27
21,UCT,MCVS,0.000,0.0,0.0,28
22,MCVS,UCT,1.000,0.0,0.0,29
23,UCT,MCVS,1.000,0.0,0.0,25
24,MCVS,UCT,1.000,0.0,0.0,29
25,UCT,MCVS,1.000,0.0,0.0,25
26,MCVS,UCT,1.000,0.0,0.0,23
27,UCT,MCVS,1.000,0.0,0.0,31
28,MCVS,UCT,1.000,0.0,0.0,27
29,UCT,MCVS,0.000,0.0,0.0,24
30,MCVS,UCT,1.000,0.0,0.0,33
31,UCT,MCVS,0.000,0.0,0.0,30
32,MCVS,UCT,0.000,0.0,0.0,32
33,UCT,MCVS,0.000,0.0,0.0,32
34,MCVS,UCT,1.000,0.0,0.0,25
35,UCT,MCVS,0.000,0.0,0.0,26
36,MCVS,UCT,1.000,0.0,0.0,29
37,UCT,MCVS,1.000,0.0,0.0,25
38,MCVS,UCT,1.000,0.0,0.0,31
39,UCT,MCVS,1.000,0.0,0.0,31
40,MCVS,UCT,1.000,0.0,0.0,29
41,UCT,MCVS,1.000,0.0,0.0,31
42,MCVS,UCT,1.000,0.0,0.0,43
43,UCT,MCVS,0.000,0.0,0.0,28
44,MCVS,UCT,0.000,0.0,0.0,28
45,UCT,MCVS,0.000,0.0,0.0,34
46,MCVS,UCT,1.000,0.0,0.0,31
47,UCT,MCVS,0.000,0.0,0.0,32
48,MCVS,UCT,1.000,0.0,0.0,21
49,UCT,MCVS,1.000,0.0,0.0,29
50,MCVS,UCT,0.000,0.0,0.0,22
51,MAST,MCVS,1.000,0.0,0.0,21
52,MCVS,MAST,1.000,0.0,0.0,29
53,MAST,MCVS,0.000,0.0,0.0,38
54,MCVS,MAST,1.000,0.0,0.0,31
55,MAST,MCVS,0.000,0.0,0.0,30
56,MCVS,MAST,0.000,0.0,0.0,30
57,MAST,MCVS,0.000,0.0,0.0,28
58,MCVS,MAST,1.000,0.0,0.0,31
59,MAST,MCVS,0.000,0.0,0.0,24
60,MCVS,MAST,0.000,0.0,0.0,32
61,MAST,MCVS,0.000,0.0,0.0,28
62,MCVS,MAST,0.000,0.0,0.0,26
63,MAST,MCVS,0.000,0.0,0.0,26
64,MCVS,MAST,0.000,0.0,0.0,38
65,MAST,MCVS,0.000,0.0,0.0,24
66,MCVS,MAST,1.000,0.0,0.0,29
67,MAST,MCVS,0.000,0.0,0.0,24
68,MCVS,MAST,1.000,0.0,0.0,25
69,MAST,MCVS,1.000,0.0,0.0,29
70,MCVS,MAST,1.000,0.0,0.0,33
71,MAST,MCVS,0.000,0.0,0.0,36
72,MCVS,MAST,0.000,0.0,0.0,30
73,MAST,MCVS,0.000,0.0,0.0,30
74,MCVS,MAST,1.000,0.0,0.0,27
75,MAST,MCVS,1.000,0.0,0.0,35
76,MCVS,MAST,1.000,0.0,0.0,27
77,MAST,MCVS,0.000,0.0,0.0,32
78,MCVS,MAST,1.000,0.0,0.0,27
79,MAST,MCVS,1.000,0.0,0.0,27
80,MCVS,MAST,1.000,0.0,0.0,37
81,MAST,MCVS,0.000,0.0,0.0,36
82,MCVS,MAST,1.000,0.0,0.0,25
83,MAST,MCVS,0.000,0.0,0.0,26
84,MCVS,MAST,1.000,0.0,0.0,33
85,MAST,MCVS,0.000,0.0,0.0,32
86,MCVS,MAST,1.000,0.0,0.0,39
87,MAST,MCVS,0.000,0.0,0.0,30
88,MCVS,MAST,1.000,0.0,0.0,33
89,MAST,MCVS,1.000,0.0,0.0,39
90,MCVS,MAST,1.000,0.0,0.0,27
91,MAST,MCVS,0.000,0.0,0.0,28
92,MCVS,MAST,0.000,0.0,0.0,26
93,MAST,MCVS,0.000,0.0,0.0,32
94,MCVS,MAST,0.000,0.0,0.0,28
95,MAST,MCVS,0.000,0.0,0.0,30
96,MCVS,MAST,1.000,0.0,0.0,25
97,MAST,MCVS,1.000,0.0,0.0,25
98,MCVS,MAST,1.000,0.0,0.0,23
99,MAST,MCVS,1.000,0.0,0.0,33
100,MCVS,MAST,1.000,0.0,0.0,37
101,RAVE,MCVS,1.000,0.0,0.0,29
102,MCVS,RAVE,0.000,0.0,0.0,28
103,RAVE,MCVS,1.000,0.0,0.0,33
104,MCVS,RAVE,1.000,0.0,0.0,33
105,RAVE,MCVS,1.000,0.0,0.0,29
106,MCVS,RAVE,1.000,0.0,0.0,37
107,RAVE,MCVS,1.000,0.0,0.0,23
108,MCVS,RAVE,0.000,0.0,0.0,30
109,RAVE,MCVS,1.000,0.0,0.0,29
110,MCVS,RAVE,0.000,0.0,0.0,28
111,RAVE,MCVS,1.000,0.0,0.0,33
112,MCVS,RAVE,0.000,0.0,0.0,28
113,RAVE,MCVS,1.000,0.0,0.0,27
114,MCVS,RAVE,0.000,0.0,0.0,30
115,RAVE,MCVS,1.000,0.0,0.0,37
116,MCVS,RAVE,1.000,0.0,0.0,29
117,RAVE,MCVS,0.000,0.0,0.0,32
118,MCVS,RAVE,0.000,0.0,0.0,40
119,RAVE,MCVS,0.000,0.0,0.0,30
120,MCVS,RAVE,0.000,0.0,0.0,36
121,RAVE,MCVS,1.000,0.0,0.0,29
122,MCVS,RAVE,0.000,0.0,0.0,34
123,RAVE,MCVS,1.000,0.0,0.0,27
124,MCVS,RAVE,0.000,0.0,0.0,26
125,RAVE,MCVS,1.000,0.0,0.0,29
126,MCVS,RAVE,0.000,0.0,0.0,30
127,RAVE,MCVS,1.000,0.0,0.0,35
128,MCVS,RAVE,0.000,0.0,0.0,28
