game_index,player_a,player_b,score_a,elo_a,elo_b,plies
1,UCT,MCVS,1.000,0.0,0.0,31
2,MCVS,UCT,0.000,0.0,0.0,34
3,UCT,MCVS,0.000,0.0,0.0,24
4,MCVS,UCT,1.000,0.0,0.0,27
5,UCT,MCVS,1.000,0.0,0.0,29
6,MCVS,UCT,1.000,0.0,0.0,29
7,UCT,MCVS,1.000,0.0,0.0,29
8,MCVS,UCT,1.000,0.0,0.0,27
9,UCT,MCVS,1.000,0.0,0.0,33
10,MCVS,UCT,1.000,0.0,0.0,31
11,UCT,MCVS,1.000,0.0,0.0,23
12,MCVS,UCT,1.000,0.0,0.0,33
13,UCT,MCVS,0.000,0.0,0.0,32
14,MCVS,UCT,0.000,0.0,0.0,30
15,UCT,MCVS,0.000,0.0,0.0,30
16,MCVS,UCT,1.000,0.0,0.0,27
17,UCT,MCVS,0.000,0.0,0.0,34
18,MCVS,UCT,1.000,0.0,0.0,25
19,UCT,MCVS,1.000,0.0,0.0,29
20,MCVS,UCT,1.000,0.0,0.0,27
21,UCT,MCVS,0.000,0.0,0.0,30
22,MCVS,UCT,1.000,0.0,0.0,29
23,UCT,MCVS,1.000,0.0,0.0,25
24,MCVS,UCT,1.000,0.0,0.0,25
25,UCT,MCVS,0.000,0.0,0.0,28
26,MCVS,UCT,1.000,0.0,0.0,33
27,UCT,MCVS,0.000,0.0,0.0,30
28,MCVS,UCT,1.000,0.0,0.0,33
29,UCT,MCVS,0.000,0.0,0.0,28
30,MCVS,UCT,1.000,0.0,0.0,27
31,UCT,MCVS,0.000,0.0,0.0,36
32,MCVS,UCT,0.000,0.0,0.0,34
33,UCT,MCVS,0.000,0.0,0.0,28
34,MCVS,UCT,1.000,0.0,0.0,27
35,UCT,MCVS,0.000,0.0,0.0,32
36,MCVS,UCT,1.000,0.0,0.0,37
37,UCT,MCVS,0.000,0.0,0.0,24
38,MCVS,UCT,1.000,0.0,0.0,25
39,UCT,MCVS,0.000,0.0,0.0,24
40,MCVS,UCT,1.000,0.0,0.0,31
41,UCT,MCVS,0.000,0.0,0.0,30
42,MCVS,UCT,0.000,0.0,0.0,24
43,UCT,MCVS,0.000,0.0,0.0,28
44,MCVS,UCT,1.000,0.0,0.0,39
45,UCT,MCVS,1.000,0.0,0.0,27
46,MCVS,UCT,1.000,0.0,0.0,25
47,UCT,MCVS,0.000,0.0,0.0,28
48,MCVS,UCT,1.000,0.0,0.0,27
49,UCT,MCVS,0.000,0.0,0.0,26
50,MCVS,UCT,1.000,0.0,0.0,27
51,MAST,MCVS,1.000,0.0,0.0,23
52,MCVS,MAST,0.000,0.0,0.0,32
53,MAST,MCVS,1.000,0.0,0.0,35
54,MCVS,MAST,0.000,0.0,0.0,28
55,MAST,MCVS,0.000,0.0,0.0,26
56,MCVS,MAST,1.000,0.0,0.0,29
